heavy_atoms,n_targetdiff,targetdiff_mean,targetdiff_median,targetdiff_pct,n_voxbind,voxbind_mean,voxbind_median,voxbind_pct,n_code,code_mean,code_median,code_pct,n_reference_exact,n_reference_window,reference_firm,reference_mean,reference_median,reference_pct_exact,reference_pct_rolled
22,219,-7.751,-7.801,3.005,306,-8.051,-8.201,3.880,242,-8.158,-8.248,3.074,1,19,yes,-7.547,-7.709,1.266,2.672
23,366,-8.036,-8.018,5.023,296,-8.225,-8.353,3.753,295,-8.279,-8.540,3.747,3,23,yes,-7.777,-7.803,3.797,3.235
24,236,-8.077,-8.111,3.239,323,-8.425,-8.563,4.095,287,-8.649,-8.745,3.645,0,23,yes,-7.770,-7.803,0.000,3.235
25,296,-8.000,-8.256,4.062,347,-8.805,-8.894,4.400,322,-8.923,-9.029,4.090,2,23,yes,-8.150,-8.449,2.532,3.235
26,135,-8.824,-8.676,1.853,326,-8.887,-9.128,4.133,327,-9.049,-9.077,4.153,3,19,yes,-8.052,-8.111,3.797,2.672
27,418,-8.634,-8.751,5.736,328,-9.216,-9.120,4.159,297,-9.195,-9.285,3.772,6,21,yes,-8.284,-8.487,7.595,2.954
28,375,-8.893,-8.831,5.146,320,-9.394,-9.331,4.057,329,-9.404,-9.387,4.179,1,21,yes,-8.432,-8.487,1.266,2.954
29,182,-9.047,-8.982,2.498,311,-9.035,-9.459,3.943,326,-9.698,-9.764,4.141,3,24,yes,-8.531,-8.564,3.797,3.376
30,226,-9.167,-9.341,3.101,301,-9.546,-9.665,3.816,322,-9.983,-10.003,4.090,0,22,yes,-8.631,-8.866,0.000,3.094
31,304,-9.373,-9.418,4.172,290,-9.530,-9.655,3.677,289,-10.061,-10.089,3.671,3,21,yes,-8.774,-8.640,3.797,2.954
32,181,-9.171,-9.173,2.484,236,-9.827,-9.650,2.992,254,-10.124,-9.946,3.226,3,15,yes,-9.186,-9.092,3.797,2.110
33,166,-9.471,-9.409,2.278,206,-10.217,-9.969,2.612,267,-10.469,-10.354,3.391,3,17,yes,-9.265,-9.385,3.797,2.391
34,134,-9.810,-9.751,1.839,161,-9.835,-9.690,2.041,208,-10.575,-10.465,2.642,0,15,yes,-9.127,-8.987,0.000,2.110
35,89,-9.419,-9.462,1.221,128,-10.243,-10.008,1.623,187,-10.526,-10.558,2.375,2,15,yes,-9.127,-8.987,2.532,2.110
36,108,-10.255,-10.227,1.482,126,-9.736,-9.827,1.598,161,-10.554,-10.316,2.045,0,12,yes,-9.040,-8.963,0.000,1.688
37,71,-10.475,-10.366,0.974,101,-9.582,-9.754,1.281,130,-10.715,-10.742,1.651,3,9,no,-8.923,-8.987,3.797,1.266
38,15,,,0.206,74,-9.828,-9.793,0.938,114,-10.822,-10.873,1.448,1,8,no,-10.409,-9.208,1.266,1.125
39,44,-10.510,-10.851,0.604,77,-10.093,-10.090,0.976,105,-10.892,-10.775,1.334,0,8,no,-10.409,-9.208,0.000,1.125
40,34,-9.852,-10.151,0.467,54,-9.043,-8.745,0.685,82,-10.933,-10.880,1.042,0,6,no,-11.322,-9.681,0.000,0.844
41,23,,,0.316,47,-9.736,-9.821,0.596,75,-10.634,-10.575,0.953,0,7,no,-11.056,-9.456,0.000,0.949
42,59,-10.759,-10.234,0.810,46,-9.847,-9.995,0.583,73,-10.959,-11.204,0.927,2,4,no,-12.260,-12.058,2.532,0.542
43,32,-10.536,-11.061,0.439,38,-9.372,-9.179,0.482,41,-11.307,-11.128,0.521,0,3,no,-13.368,-14.659,0.000,0.422
44,76,-10.551,-10.366,1.043,26,-10.344,-9.736,0.330,42,-11.168,-11.130,0.533,0,3,no,-13.368,-14.659,0.000,0.506
