set,histogram,bin,pct
AR,ring_size,≥10,0.844
AR,rings_per_molecule,0,9.262
AR,rings_per_molecule,1,19.909
AR,rings_per_molecule,2,21.502
AR,rings_per_molecule,3,17.662
AR,rings_per_molecule,4,13.076
AR,rings_per_molecule,5,8.583
AR,rings_per_molecule,6,5.251
AR,rings_per_molecule,7,2.573
AR,rings_per_molecule,≥8,2.182
AR,aromatic_fraction,0.0-0.1,65.669
AR,aromatic_fraction,0.1-0.2,2.116
AR,aromatic_fraction,0.2-0.3,9.249
AR,aromatic_fraction,0.3-0.4,7.133
AR,aromatic_fraction,0.4-0.5,6.702
AR,aromatic_fraction,0.5-0.6,4.311
AR,aromatic_fraction,0.6-0.7,2.587
AR,aromatic_fraction,0.7-0.8,1.123
AR,aromatic_fraction,0.8-0.9,0.64
AR,aromatic_fraction,0.9-1.0,0.47
Pocket2Mol,ring_size,3,0.149
Pocket2Mol,ring_size,4,0.013
Pocket2Mol,ring_size,5,16.699
Pocket2Mol,ring_size,6,77.536
Pocket2Mol,ring_size,7,4.256
Pocket2Mol,ring_size,8,0.674
Pocket2Mol,ring_size,9,0.105
Pocket2Mol,ring_size,≥10,0.569
Pocket2Mol,rings_per_molecule,0,4.581
Pocket2Mol,rings_per_molecule,1,23.585
Pocket2Mol,rings_per_molecule,2,25.553
Pocket2Mol,rings_per_molecule,3,14.192
Pocket2Mol,rings_per_molecule,4,10.666
Pocket2Mol,rings_per_molecule,5,7.733
Pocket2Mol,rings_per_molecule,6,5.841
Pocket2Mol,rings_per_molecule,7,4.516
Pocket2Mol,rings_per_molecule,≥8,3.332
Pocket2Mol,aromatic_fraction,0.0-0.1,20.87
Pocket2Mol,aromatic_fraction,0.1-0.2,1.711
Pocket2Mol,aromatic_fraction,0.2-0.3,5.34
Pocket2Mol,aromatic_fraction,0.3-0.4,10.242
Pocket2Mol,aromatic_fraction,0.4-0.5,14.295
Pocket2Mol,aromatic_fraction,0.5-0.6,14.758
Pocket2Mol,aromatic_fraction,0.6-0.7,14.72
Pocket2Mol,aromatic_fraction,0.7-0.8,8.235
Pocket2Mol,aromatic_fraction,0.8-0.9,5.353
Pocket2Mol,aromatic_fraction,0.9-1.0,4.478
DiffSBDD,ring_size,3,17.079
DiffSBDD,ring_size,4,2.89
DiffSBDD,ring_size,5,27.311
DiffSBDD,ring_size,6,41.187
DiffSBDD,ring_size,7,8.073
DiffSBDD,ring_size,8,1.668
DiffSBDD,ring_size,9,0.524
DiffSBDD,ring_size,≥10,1.267
DiffSBDD,rings_per_molecule,0,11.14
DiffSBDD,rings_per_molecule,1,22.409
DiffSBDD,rings_per_molecule,2,25.453
DiffSBDD,rings_per_molecule,3,20.052
DiffSBDD,rings_per_molecule,4,11.749
DiffSBDD,rings_per_molecule,5,5.687
DiffSBDD,rings_per_molecule,6,2.15
DiffSBDD,rings_per_molecule,7,0.816
DiffSBDD,rings_per_molecule,≥8,0.544
DiffSBDD,aromatic_fraction,0.0-0.1,60.907
DiffSBDD,aromatic_fraction,0.1-0.2,5.466
DiffSBDD,aromatic_fraction,0.2-0.3,11.839
DiffSBDD,aromatic_fraction,0.3-0.4,8.161
DiffSBDD,aromatic_fraction,0.4-0.5,5.181
DiffSBDD,aromatic_fraction,0.5-0.6,3.705
DiffSBDD,aromatic_fraction,0.6-0.7,2.668
DiffSBDD,aromatic_fraction,0.7-0.8,0.868
DiffSBDD,aromatic_fraction,0.8-0.9,0.674
DiffSBDD,aromatic_fraction,0.9-1.0,0.531
DecompDiff,ring_size,3,2.627
DecompDiff,ring_size,4,3.837
DecompDiff,ring_size,5,35.043
DecompDiff,ring_size,6,43.203
DecompDiff,ring_size,7,11.009
DecompDiff,ring_size,8,2.182
DecompDiff,ring_size,9,0.639
DecompDiff,ring_size,≥10,1.46
DecompDiff,rings_per_molecule,0,13.941
DecompDiff,rings_per_molecule,1,19.963
DecompDiff,rings_per_molecule,2,24.319
DecompDiff,rings_per_molecule,3,23.588
DecompDiff,rings_per_molecule,4,10.814
DecompDiff,rings_per_molecule,5,4.372
DecompDiff,rings_per_molecule,6,2.007
DecompDiff,rings_per_molecule,7,0.7
DecompDiff,rings_per_molecule,≥8,0.296
DecompDiff,aromatic_fraction,0.0-0.1,51.206
DecompDiff,aromatic_fraction,0.1-0.2,5.275
DecompDiff,aromatic_fraction,0.2-0.3,11.032
DecompDiff,aromatic_fraction,0.3-0.4,11.732
DecompDiff,aromatic_fraction,0.4-0.5,7.391
DecompDiff,aromatic_fraction,0.5-0.6,7.609
DecompDiff,aromatic_fraction,0.6-0.7,2.956
DecompDiff,aromatic_fraction,0.7-0.8,1.4
DecompDiff,aromatic_fraction,0.8-0.9,0.887
DecompDiff,aromatic_fraction,0.9-1.0,0.513
FuncBind,ring_size,3,0.0
FuncBind,ring_size,4,0.392
FuncBind,ring_size,5,16.092
FuncBind,ring_size,6,82.696
FuncBind,ring_size,7,0.441
FuncBind,ring_size,8,0.056
FuncBind,ring_size,9,0.118
FuncBind,ring_size,≥10,0.205
FuncBind,rings_per_molecule,0,14.11
FuncBind,rings_per_molecule,1,25.877
FuncBind,rings_per_molecule,2,24.37
FuncBind,rings_per_molecule,3,20.722
FuncBind,rings_per_molecule,4,9.348
FuncBind,rings_per_molecule,5,4.091
FuncBind,rings_per_molecule,6,1.279
FuncBind,rings_per_molecule,7,0.165
FuncBind,rings_per_molecule,≥8,0.038
FuncBind,aromatic_fraction,0.0-0.1,71.78
FuncBind,aromatic_fraction,0.1-0.2,2.837
FuncBind,aromatic_fraction,0.2-0.3,11.21
FuncBind,aromatic_fraction,0.3-0.4,5.13
FuncBind,aromatic_fraction,0.4-0.5,3.521
FuncBind,aromatic_fraction,0.5-0.6,2.014
FuncBind,aromatic_fraction,0.6-0.7,2.052
FuncBind,aromatic_fraction,0.7-0.8,0.722
FuncBind,aromatic_fraction,0.8-0.9,0.456
FuncBind,aromatic_fraction,0.9-1.0,0.279
TargetDiff,ring_size,3,0.0
TargetDiff,ring_size,4,2.462
TargetDiff,ring_size,5,29.854
TargetDiff,ring_size,6,50.092
TargetDiff,ring_size,7,11.554
TargetDiff,ring_size,8,2.314
TargetDiff,ring_size,9,0.877
TargetDiff,ring_size,≥10,2.847
TargetDiff,rings_per_molecule,0,9.592
TargetDiff,rings_per_molecule,1,20.461
TargetDiff,rings_per_molecule,2,21.504
TargetDiff,rings_per_molecule,3,20.351
TargetDiff,rings_per_molecule,4,14.89
TargetDiff,rings_per_molecule,5,7.246
TargetDiff,rings_per_molecule,6,3.595
TargetDiff,rings_per_molecule,7,1.537
TargetDiff,rings_per_molecule,≥8,0.823
TargetDiff,aromatic_fraction,0.0-0.1,61.534
TargetDiff,aromatic_fraction,0.1-0.2,7.177
TargetDiff,aromatic_fraction,0.2-0.3,13.641
TargetDiff,aromatic_fraction,0.3-0.4,6.491
TargetDiff,aromatic_fraction,0.4-0.5,4.323
TargetDiff,aromatic_fraction,0.5-0.6,3.678
TargetDiff,aromatic_fraction,0.6-0.7,1.99
TargetDiff,aromatic_fraction,0.7-0.8,0.645
TargetDiff,aromatic_fraction,0.8-0.9,0.371
TargetDiff,aromatic_fraction,0.9-1.0,0.151
